[2023-05-22 23:03:00,971] (set_logging:INFO) Files stored in "fspace-inference/wandb/run-bkz5jtf1/files".
[2023-05-22 23:03:01,651] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:03,312] (get_dataset:INFO) Loaded "cifar10".
[2023-05-22 23:03:03,388] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:04,858] (get_dataset:INFO) Loaded "cifar100".
[2023-05-22 23:03:37,489] (train_model:DEBUG) {'epoch': 0, 'batch_loss': 2.967726469039917, 'ce_loss': 2.6546058654785156, 'reg_loss': 313120.59375}
[2023-05-22 23:03:50,802] (train_model:DEBUG) {'epoch': 0, 'batch_loss': 1.8928583860397339, 'ce_loss': 1.8914660215377808, 'reg_loss': 1392.3525390625}
[2023-05-22 23:04:04,152] (train_model:DEBUG) {'epoch': 0, 'batch_loss': 1.8590888977050781, 'ce_loss': 1.8580687046051025, 'reg_loss': 1020.2526245117188}
[2023-05-22 23:04:17,547] (train_model:DEBUG) {'epoch': 0, 'batch_loss': 1.5641446113586426, 'ce_loss': 1.5632094144821167, 'reg_loss': 935.2293701171875}
[2023-05-22 23:04:45,790] (train_model:DEBUG) {'epoch': 1, 'batch_loss': 1.5144554376602173, 'ce_loss': 1.5134822130203247, 'reg_loss': 973.2155151367188}
[2023-05-22 23:04:59,209] (train_model:DEBUG) {'epoch': 1, 'batch_loss': 1.4445563554763794, 'ce_loss': 1.4436063766479492, 'reg_loss': 950.006591796875}
[2023-05-22 23:05:12,642] (train_model:DEBUG) {'epoch': 1, 'batch_loss': 1.3800188302993774, 'ce_loss': 1.3784453868865967, 'reg_loss': 1573.4244384765625}
[2023-05-22 23:05:26,096] (train_model:DEBUG) {'epoch': 1, 'batch_loss': 1.4137266874313354, 'ce_loss': 1.412797451019287, 'reg_loss': 929.233154296875}
[2023-05-22 23:05:39,546] (train_model:DEBUG) {'epoch': 2, 'batch_loss': 1.351750135421753, 'ce_loss': 1.3500372171401978, 'reg_loss': 1712.952392578125}
[2023-05-22 23:05:53,004] (train_model:DEBUG) {'epoch': 2, 'batch_loss': 1.378502607345581, 'ce_loss': 1.3770246505737305, 'reg_loss': 1477.954833984375}
[2023-05-22 23:06:06,480] (train_model:DEBUG) {'epoch': 2, 'batch_loss': 1.1067026853561401, 'ce_loss': 1.1053507328033447, 'reg_loss': 1351.9150390625}
[2023-05-22 23:06:19,959] (train_model:DEBUG) {'epoch': 2, 'batch_loss': 1.1456037759780884, 'ce_loss': 1.1437909603118896, 'reg_loss': 1812.7760009765625}
[2023-05-22 23:06:33,376] (train_model:DEBUG) {'epoch': 3, 'batch_loss': 1.0818266868591309, 'ce_loss': 1.0797054767608643, 'reg_loss': 2121.186767578125}
[2023-05-22 23:06:46,880] (train_model:DEBUG) {'epoch': 3, 'batch_loss': 0.9502005577087402, 'ce_loss': 0.948506236076355, 'reg_loss': 1694.3477783203125}
[2023-05-22 23:07:00,385] (train_model:DEBUG) {'epoch': 3, 'batch_loss': 0.9510596990585327, 'ce_loss': 0.9491499066352844, 'reg_loss': 1909.819091796875}
[2023-05-22 23:07:13,901] (train_model:DEBUG) {'epoch': 3, 'batch_loss': 0.9504501819610596, 'ce_loss': 0.9487178325653076, 'reg_loss': 1732.3258056640625}
[2023-05-22 23:07:27,664] (train_model:DEBUG) {'epoch': 4, 'batch_loss': 0.9053794741630554, 'ce_loss': 0.9034465551376343, 'reg_loss': 1932.9154052734375}
[2023-05-22 23:07:41,185] (train_model:DEBUG) {'epoch': 4, 'batch_loss': 0.7977833151817322, 'ce_loss': 0.7953578233718872, 'reg_loss': 2425.463134765625}
[2023-05-22 23:07:54,732] (train_model:DEBUG) {'epoch': 4, 'batch_loss': 0.9264374375343323, 'ce_loss': 0.9239121675491333, 'reg_loss': 2525.248291015625}
[2023-05-22 23:08:08,284] (train_model:DEBUG) {'epoch': 4, 'batch_loss': 0.74540114402771, 'ce_loss': 0.7433438301086426, 'reg_loss': 2057.31201171875}
[2023-05-22 23:08:22,203] (train_model:DEBUG) {'epoch': 5, 'batch_loss': 0.868800699710846, 'ce_loss': 0.8663942217826843, 'reg_loss': 2406.465087890625}
[2023-05-22 23:08:35,748] (train_model:DEBUG) {'epoch': 5, 'batch_loss': 0.7347461581230164, 'ce_loss': 0.7324503660202026, 'reg_loss': 2295.7626953125}
[2023-05-22 23:08:49,300] (train_model:DEBUG) {'epoch': 5, 'batch_loss': 0.766904890537262, 'ce_loss': 0.7648547887802124, 'reg_loss': 2050.108642578125}
[2023-05-22 23:09:02,861] (train_model:DEBUG) {'epoch': 5, 'batch_loss': 0.6841177940368652, 'ce_loss': 0.6816615462303162, 'reg_loss': 2456.225830078125}
[2023-05-22 23:09:16,860] (train_model:DEBUG) {'epoch': 6, 'batch_loss': 0.806837797164917, 'ce_loss': 0.8037734031677246, 'reg_loss': 3064.38134765625}
[2023-05-22 23:09:30,410] (train_model:DEBUG) {'epoch': 6, 'batch_loss': 0.6309057474136353, 'ce_loss': 0.6284976005554199, 'reg_loss': 2408.1513671875}
[2023-05-22 23:09:43,956] (train_model:DEBUG) {'epoch': 6, 'batch_loss': 0.6128004789352417, 'ce_loss': 0.6101804375648499, 'reg_loss': 2620.050048828125}
[2023-05-22 23:09:57,508] (train_model:DEBUG) {'epoch': 6, 'batch_loss': 0.5995610952377319, 'ce_loss': 0.5970271229743958, 'reg_loss': 2533.9521484375}
[2023-05-22 23:10:11,412] (train_model:DEBUG) {'epoch': 7, 'batch_loss': 0.539831817150116, 'ce_loss': 0.536777138710022, 'reg_loss': 3054.69677734375}
[2023-05-22 23:10:24,975] (train_model:DEBUG) {'epoch': 7, 'batch_loss': 0.6188855767250061, 'ce_loss': 0.6158987283706665, 'reg_loss': 2986.85498046875}
[2023-05-22 23:10:38,542] (train_model:DEBUG) {'epoch': 7, 'batch_loss': 0.6379837989807129, 'ce_loss': 0.6350679397583008, 'reg_loss': 2915.8408203125}
[2023-05-22 23:10:52,109] (train_model:DEBUG) {'epoch': 7, 'batch_loss': 0.5175431370735168, 'ce_loss': 0.5139809846878052, 'reg_loss': 3562.147705078125}
[2023-05-22 23:11:05,984] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.48492130637168884, 'ce_loss': 0.4822641611099243, 'reg_loss': 2657.15478515625}
[2023-05-22 23:11:19,549] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.6195581555366516, 'ce_loss': 0.6164947748184204, 'reg_loss': 3063.405517578125}
[2023-05-22 23:11:33,117] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.6819931864738464, 'ce_loss': 0.6783022284507751, 'reg_loss': 3690.966064453125}
[2023-05-22 23:11:46,687] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.7223076224327087, 'ce_loss': 0.7191190719604492, 'reg_loss': 3188.56982421875}
[2023-05-22 23:12:00,546] (train_model:DEBUG) {'epoch': 9, 'batch_loss': 0.48146772384643555, 'ce_loss': 0.47792309522628784, 'reg_loss': 3544.624755859375}
